generation,mean_fitness_mean,mean_fitness_std,distance_from_optimum_mean,distance_from_optimum_std,phenotype_variance_mean,phenotype_variance_std,population_size_mean,population_size_std,n_parents_mean,n_parents_std,median_offspring_mean,median_offspring_std,max_offspring_mean,max_offspring_std,extinct_count
869,0.5866241577372662,0.1342950155887086,0.09473838035017978,0.025483905811801762,0.0011620824290281342,0.0005749360472095251,100.0,0.0,63.35,3.453621287865825,1.1,0.2549509756796392,4.35,0.8529361054615991,0
870,0.5814868433065371,0.12954272866129132,0.09617177979092763,0.024412021736868007,0.0011117369841280073,0.0005572597454634985,100.0,0.0,62.05,4.06786184622831,1.275,0.43229041164476456,4.2,0.7483314773547883,0
871,0.5838625319701143,0.11941533599586306,0.09640277066477462,0.022051781952497025,0.0010825102104509167,0.0006340951538583284,100.0,0.0,64.8,3.026549190084311,1.0,0.0,3.85,0.7262919523166975,0
872,0.5843466873232581,0.1093210321910268,0.0959455454046677,0.0202537296350395,0.0011790995191828589,0.0008697757985972825,100.0,0.0,62.9,2.8442925306655784,1.15,0.3570714214271425,4.15,0.5722761571129799,0
873,0.5882146519939362,0.1049462038411837,0.09534636546698004,0.01966169920988917,0.0011749497905265487,0.0009444258804553494,100.0,0.0,63.85,2.8508770580296865,1.05,0.21794494717703372,4.2,0.6782329983125269,0
874,0.6029423014626237,0.1147339421196085,0.09166068385610722,0.023078303093846515,0.001176453698089644,0.0008228358635324816,100.0,0.0,64.35,3.365635155509284,1.025,0.10897247358851683,3.85,0.5722761571129799,0
875,0.60997849398214,0.13709855681105443,0.09045289779355101,0.028875884627123403,0.0009651332894626472,0.0005919947951116696,100.0,0.0,63.95,2.654712790491657,1.0,0.0,4.35,0.653834841531101,0
876,0.5916399674235376,0.14027687623353252,0.09418141910931933,0.02859821186151096,0.0009607931892586489,0.0005153178141527309,100.0,0.0,62.9,3.345145736735546,1.15,0.3570714214271425,4.2,0.7483314773547883,0
877,0.5890063384356388,0.14483703759713876,0.09560327754643091,0.02795210923846348,0.000947175228006343,0.00044574556975264073,100.0,0.0,63.5,3.52845575287547,1.05,0.21794494717703372,4.35,0.6538348415311012,0
878,0.5761041457386569,0.14560721476907837,0.0984305011220511,0.02701638652673015,0.0009659602064886273,0.00041775695578323666,100.0,0.0,62.15,3.5535193822462827,1.1,0.3,4.6,0.66332495807108,0
879,0.570944975334246,0.13956128983434948,0.09939905225254693,0.02540678807938186,0.001034361109884238,0.00045375043338689776,100.0,0.0,62.8,2.580697580112788,1.075,0.23848480035423641,4.6,1.0677078252031311,0
880,0.5757675744453653,0.11886638801781386,0.0988054092226301,0.021357964210284606,0.0010602754432670427,0.0004839667162198381,100.0,0.0,63.75,2.3637893307145625,1.05,0.21794494717703372,4.3,0.6403124237432849,0
881,0.5819323940794552,0.11751899896771678,0.09768378836297491,0.020116152305858403,0.0010587121420496473,0.0005375704833080532,100.0,0.0,63.15,3.1666228067138023,1.15,0.3570714214271425,4.4,0.9165151389911679,0
882,0.5866835177923732,0.11904491728741266,0.09666714572889538,0.020566255717402695,0.001036024984534683,0.000476988081008841,100.0,0.0,63.2,3.0594117081556704,1.075,0.23848480035423641,4.55,0.7399324293474372,0
883,0.5804167669828042,0.11727265342847748,0.09872450210117524,0.02085605676302854,0.0009192647304471808,0.000478735639626238,100.0,0.0,64.7,3.287856444554719,1.1,0.3,4.1,0.7,0
884,0.584259223288991,0.126469305286646,0.09808393209475774,0.023388787992981358,0.000878295063786739,0.0004158227578328038,100.0,0.0,63.05,2.8892040426387333,1.05,0.21794494717703372,4.3,0.714142842854285,0
885,0.5781386902409948,0.12923964852540618,0.09956052670496789,0.024111793959022607,0.0008743286590708408,0.0003441180092761453,100.0,0.0,62.9,2.896549671592048,1.15,0.3570714214271425,4.15,0.47696960070847283,0
886,0.5710861860058616,0.1366385784414304,0.10143725032132453,0.025034368870274246,0.000828266095412648,0.00017658829347437643,100.0,0.0,61.9,2.981610303175114,1.05,0.15,4.3,0.714142842854285,0
887,0.5633588809488589,0.13670779626593293,0.10284641425679422,0.025230694892197668,0.0008904615321237696,0.00031168818726935374,100.0,0.0,63.7,3.479942528261063,1.075,0.23848480035423641,3.8,0.7483314773547883,0
888,0.5608400717058173,0.13967569123461657,0.10284536493665106,0.026120370884072663,0.0009370749119640131,0.00031559132790040425,100.0,0.0,63.15,3.102821296820041,1.125,0.3112474899497183,3.95,0.5894913061275798,0
889,0.5641183256916845,0.15330548197811927,0.10212732847118851,0.029655836713955,0.0009138270959789033,0.0004103444096339401,100.0,0.0,63.55,3.4274626183227737,1.1,0.3,4.35,0.6538348415311009,0
890,0.5542978837743929,0.15499959040397424,0.10412661397124826,0.030411202647231825,0.0009484107198528674,0.000542955280206253,100.0,0.0,63.1,2.826658805020514,1.025,0.10897247358851683,4.4,0.4898979485566356,0
